,T1,T2,C3,C4
150950,0.5782003587683691,0.5590000978273053,0.6609395947875776,0.6153563193088216
150951,1.3457007851896683,1.2427030207172416,1.0317175813650166,1.0360899020904406
150952,0.6373610216113568,0.5730033075865761,0.32919925290019114,0.22039517617567803
150956,0.9418767249893438,0.8552894523436848,0.6995032344056812,0.7058605863926035
150957,0.3128174087851802,0.2949275497352374,0.1590394884588076,0.18801424769931732
150958,0.25640899453146426,0.23529397066894897,0.2619276613260495,0.3025302602982377
150959,0.44676160582969765,0.43686790718249713,0.3111963884637837,0.34185020270507666
150960,0.5511938628471829,0.49641585101796865,0.18456172836609236,0.33486296789316494
150961,0.26822390267755897,0.4208276407787124,0.5093548807778308,0.3740000957620462
150962,0.10201477710066334,0.10269220679870406,0.09497155325149678,0.09241634253788698
150963,0.2637529786889756,0.2296018592509097,0.17561890676602007,0.1677263854126365
150964,0.25316430438505877,0.21383654791461942,0.18992468938718146,0.21913994008976645
150965,0.19834252983649112,0.24273873256327635,0.1911302444669623,0.17694721030604085
150971,0.17349624748684558,0.14721756182145415,0.24340719334540925,0.2649374504170007
150978,0.2102563406100931,0.17630674390965612,0.11556797342831522,0.09290537141842256
150979,0.05189209820611632,0.07631895285066509,0.07176412036058619,0.025746572245016572
150980,0.19988800415591962,0.1990481125427483,0.1334133783364947,0.15406496974576434
150981,0.12257047400667904,0.13729063078761292,0.04376905615876349,0.08719146856922469
150982,0.12579938980859418,0.15204735832538607,0.013609332842589368,0.027533169175480213
150983,0.2467893538914546,0.18950284137321322,0.24581895528073375,0.22869758274194754
150987,0.46951444596431,0.45635564225241776,0.3060949048079018,0.33074802481192456
150988,0.3323238898376325,0.2718425675657997,0.15550233170379113,0.16001640019647112
151000,0.1828401620861976,0.2713729047379639,0.10912114065128983,0.1312215003196251
151001,0.29640825705708695,0.32510089685473575,0.2719225891286081,0.317916793759021
151003,0.23769488195508853,0.20289657007138692,0.25121397449698074,0.27016138538959755
151004,0.18467343867645675,0.1865155683040683,0.140990739399871,0.1362442891412252
151005,0.08341705988678584,0.12350200802621525,0.05658103973586996,0.10265873312789547
151007,0.27338961362078207,0.26828578582187934,0.22788803069934419,0.24158727450257841
151008,0.08237685475422155,0.05809721985094393,0.06096801609009748,0.06498654885323714
151010,0.09281221281150559,0.07132124841894243,0.0603631871439397,0.07522890223780557
151011,0.07802299390167315,0.108707994647395,0.12188470926766043,0.06239885455607509
151012,0.058135855754448316,0.07117853158775085,0.06176532167159462,0.03921578349838181
